sub_num,session,trial_order,trial_number,frame_count_start,frame_count_end,filename
CAT_206,2,order2A-locationflip,1,556,700,CAT_206_session2
CAT_206,2,order2A-locationflip,2,779,923,CAT_206_session2
CAT_206,2,order2A-locationflip,3,1002,1146,CAT_206_session2
CAT_206,2,order2A-locationflip,4,1226,1370,CAT_206_session2
CAT_206,2,order2A-locationflip,6,1671,1815,CAT_206_session2
CAT_206,2,order2A-locationflip,7,1891,2035,CAT_206_session2
CAT_206,2,order2A-locationflip,8,2113,2257,CAT_206_session2
CAT_206,2,order2A-locationflip,9,2336,2480,CAT_206_session2
CAT_206,2,order2A-locationflip,11,2780,2924,CAT_206_session2
CAT_206,2,order2A-locationflip,12,3003,3147,CAT_206_session2
CAT_206,2,order2A-locationflip,13,3226,3370,CAT_206_session2
CAT_206,2,order2A-locationflip,14,3448,3592,CAT_206_session2
CAT_206,2,order2A-locationflip,18,4336,4480,CAT_206_session2
CAT_206,2,order2A-locationflip,22,5223,5367,CAT_206_session2
CAT_206,2,order2A-locationflip,24,5589,5733,CAT_206_session2
CAT_206,2,order2A-locationflip,26,6032,6176,CAT_206_session2
CAT_206,2,order2A-locationflip,27,6256,6400,CAT_206_session2
CAT_206,2,order2A-locationflip,28,6480,6623,CAT_206_session2
CAT_206,2,order2A-locationflip,29,6703,6847,CAT_206_session2
CAT_208,1,order1B-locationflip,1,662,733,CAT_208_session1
CAT_208,1,order1B-locationflip,2,772,844,CAT_208_session1
CAT_208,1,order1B-locationflip,3,882,953,CAT_208_session1
CAT_208,1,order1B-locationflip,4,992,1063,CAT_208_session1
CAT_208,1,order1B-locationflip,6,1213,1285,CAT_208_session1
CAT_208,1,order1B-locationflip,7,1324,1395,CAT_208_session1
CAT_208,1,order1B-locationflip,8,1434,1505,CAT_208_session1
CAT_208,1,order1B-locationflip,9,1545,1616,CAT_208_session1
CAT_208,1,order1B-locationflip,13,1986,2057,CAT_208_session1
CAT_208,1,order1B-locationflip,14,2097,2168,CAT_208_session1
CAT_208,1,order1B-locationflip,16,2316,2388,CAT_208_session1
CAT_208,1,order1B-locationflip,17,2426,2497,CAT_208_session1
CAT_208,1,order1B-locationflip,18,2537,2609,CAT_208_session1
CAT_208,1,order1B-locationflip,19,2647,2718,CAT_208_session1
CAT_208,1,order1B-locationflip,21,2866,2937,CAT_208_session1
CAT_208,1,order1B-locationflip,22,2977,3048,CAT_208_session1
CAT_208,1,order1B-locationflip,24,3197,3268,CAT_208_session1
CAT_208,1,order1B-locationflip,26,3417,3488,CAT_208_session1
CAT_208,1,order1B-locationflip,27,3527,3598,CAT_208_session1
CAT_208,1,order1B-locationflip,28,3637,3708,CAT_208_session1
CAT_208,1,order1B-locationflip,29,3747,3818,CAT_208_session1
CAT_208,2,order1A-locationflip,1,593,732,CAT_208_session2
CAT_208,2,order1A-locationflip,2,810,949,CAT_208_session2
CAT_208,2,order1A-locationflip,3,1026,1165,CAT_208_session2
CAT_208,2,order1A-locationflip,4,1242,1382,CAT_208_session2
CAT_208,2,order1A-locationflip,6,1673,1812,CAT_208_session2
CAT_208,2,order1A-locationflip,7,1888,2027,CAT_208_session2
CAT_208,2,order1A-locationflip,8,2104,2244,CAT_208_session2
CAT_208,2,order1A-locationflip,9,2320,2460,CAT_208_session2
CAT_208,2,order1A-locationflip,11,2805,2945,CAT_208_session2
CAT_208,2,order1A-locationflip,12,3021,3160,CAT_208_session2
CAT_208,2,order1A-locationflip,13,3237,3376,CAT_208_session2
CAT_208,2,order1A-locationflip,14,3453,3592,CAT_208_session2
CAT_208,2,order1A-locationflip,16,3894,4034,CAT_208_session2
CAT_208,2,order1A-locationflip,17,4110,4250,CAT_208_session2
CAT_208,2,order1A-locationflip,18,4327,4467,CAT_208_session2
CAT_208,2,order1A-locationflip,19,4543,4683,CAT_208_session2
CAT_208,2,order1A-locationflip,21,4975,5115,CAT_208_session2
CAT_208,2,order1A-locationflip,22,5192,5332,CAT_208_session2
CAT_208,2,order1A-locationflip,23,5409,5548,CAT_208_session2
CAT_208,2,order1A-locationflip,24,5625,5764,CAT_208_session2
CAT_208,2,order1A-locationflip,26,6108,6248,CAT_208_session2
CAT_208,2,order1A-locationflip,27,6324,6464,CAT_208_session2
CAT_208,2,order1A-locationflip,28,6540,6680,CAT_208_session2
CAT_208,2,order1A-locationflip,29,6756,6895,CAT_208_session2
CAT_209,1,order2B-locationflip,1,493,563,CAT_209_session1
CAT_209,1,order2B-locationflip,2,607,677,CAT_209_session1
CAT_209,1,order2B-locationflip,3,720,790,CAT_209_session1
CAT_209,1,order2B-locationflip,4,834,904,CAT_209_session1
CAT_209,1,order2B-locationflip,6,1062,1132,CAT_209_session1
CAT_209,1,order2B-locationflip,7,1175,1245,CAT_209_session1
CAT_209,1,order2B-locationflip,8,1288,1358,CAT_209_session1
CAT_209,1,order2B-locationflip,9,1406,1507,CAT_209_session1
CAT_209,1,order2B-locationflip,11,1797,1932,CAT_209_session1
CAT_209,1,order2B-locationflip,12,2015,2085,CAT_209_session1
CAT_209,1,order2B-locationflip,13,2134,2244,CAT_209_session1
CAT_209,1,order2B-locationflip,14,2316,2452,CAT_209_session1
CAT_209,1,order2B-locationflip,16,2763,2899,CAT_209_session1
CAT_209,1,order2B-locationflip,17,2992,3128,CAT_209_session1
CAT_209,1,order2B-locationflip,18,3216,3352,CAT_209_session1
CAT_209,1,order2B-locationflip,19,3957,4096,CAT_209_session1
CAT_209,1,order2B-locationflip,21,4412,4548,CAT_209_session1
CAT_209,1,order2B-locationflip,22,4642,4778,CAT_209_session1
CAT_209,1,order2B-locationflip,23,4866,5002,CAT_209_session1
CAT_209,1,order2B-locationflip,24,5083,5165,CAT_209_session1
CAT_209,1,order2B-locationflip,26,5391,5461,CAT_209_session1
CAT_209,1,order2B-locationflip,27,5506,5576,CAT_209_session1
CAT_209,1,order2B-locationflip,28,5628,5759,CAT_209_session1
CAT_209,1,order2B-locationflip,29,5838,5945,CAT_209_session1
CAT_209,2,order2A-locationflip,1,328,398,CAT_209_session2
CAT_209,2,order2A-locationflip,2,442,513,CAT_209_session2
CAT_209,2,order2A-locationflip,3,554,625,CAT_209_session2
CAT_209,2,order2A-locationflip,4,666,737,CAT_209_session2
CAT_209,2,order2A-locationflip,6,892,962,CAT_209_session2
CAT_209,2,order2A-locationflip,7,1005,1076,CAT_209_session2
CAT_209,2,order2A-locationflip,8,1118,1189,CAT_209_session2
CAT_209,2,order2A-locationflip,9,1231,1301,CAT_209_session2
CAT_209,2,order2A-locationflip,11,1459,1530,CAT_209_session2
CAT_209,2,order2A-locationflip,12,1572,1643,CAT_209_session2
