sub_num,id,typical,experience,experience_open,typical_num,image_name,plural_category,name,pets,books_animals,typical_num_z,typical_by_category_z
CAT_208,19,very atypical,No,NA,1,robin_600x600,birds,robin,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.9004984374763989,-0.8164965809277261
CAT_208,20,somewhat atypical,No,NA,2,sheepdog_600x600,dogs,sheepdog,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.2455904829481088,0
CAT_208,21,very atypical,No,NA,1,sparrow_600x600,birds,sparrow,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.9004984374763989,-0.8164965809277261
CAT_208,22,very atypical,No,NA,1,sphynx_600x600,cats,sphynx,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.9004984374763989,-1.1866111313364183
CAT_208,23,very atypical,No,NA,1,sturgeon_600x600,fish,sturgeon,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",-0.9004984374763989,-0.8519427513705972
CAT_208,24,very typical,Yes,3 cats at home,5,tabby_600x600,cats,tabby,2 snow shoe cats 1 black cat and a blue beta rip 03/22,"baby dictionary,, this little piggy, baby deer & baby's 1st words",1.7191333806367617,0.8475793795260128
CAT_201,1,somewhat atypical,No,NA,2,afghanhound_600x600,dogs,afghanhound,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",-0.7679476477883044,-0.9517337345336012
CAT_201,2,very typical,Yes,cat in book,5,arabianmau_600x600,cats,arabianmau,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.9599345597353809,0.761386987626881
CAT_201,3,somewhat typical,Yes,fish on tv,4,bass_600x600,fish,bass,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.3839738238941524,0.5715476066494083
CAT_201,4,somewhat typical,Yes,dogs in neighborhood,4,bassethound_600x600,dogs,bassethound,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.3839738238941524,0.19034674690672035
CAT_201,5,very typical,Yes,dogs in neighborhood,5,beagle_600x600,dogs,beagle,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.9599345597353809,0.7613869876268811
CAT_201,6,very atypical,No,NA,1,betafish_600x600,fish,betafish,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",-1.3439083836295327,-0.8981462390204988
CAT_201,7,very typical,Yes,fish on tv,5,bluegill_600x600,fish,bluegill,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.9599345597353809,1.061445555206044
CAT_201,8,very typical,Yes,cardinals outside,5,cardinal_600x600,birds,cardinal,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.9599345597353809,1.0644053746097526
CAT_201,9,very typical,Yes,grandmother's cat,5,chartreux_600x600,cats,chartreux,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.9599345597353809,0.761386987626881
CAT_201,10,very typical,Yes,fish in book,5,clownfish_600x600,fish,clownfish,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.9599345597353809,1.061445555206044
CAT_201,11,somewhat atypical,No,NA,2,cornishrex_600x600,cats,cornishrex,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",-0.7679476477883044,-0.951733734533601
CAT_201,12,very typical,Yes,dogs In neighborhood,5,germanshepherd_600x600,dogs,germanshepherd,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.9599345597353809,0.7613869876268811
CAT_201,13,very typical,Yes,Dogs in neighborhood,5,goldenretriever_600x600,dogs,goldenretriever,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.9599345597353809,0.7613869876268811
CAT_201,14,very atypical,No,NA,1,heron_600x600,birds,heron,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",-1.3439083836295327,-1.2579336245387982
CAT_201,15,somewhat typical,Yes,birds outside,4,kingfisher_600x600,birds,kingfisher,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.3839738238941524,0.48382062482261484
CAT_201,16,very atypical,No,NA,1,kookaburra_600x600,birds,kookaburra,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",-1.3439083836295327,-1.2579336245387982
CAT_201,17,very atypical,No,NA,1,lionfish_600x600,fish,lionfish,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",-1.3439083836295327,-0.8981462390204988
CAT_201,18,somewhat typical,Yes,grandmother's cat,4,oriental_600x600,cats,oriental,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.3839738238941524,0.19034674690672032
CAT_201,19,somewhat typical,Yes,resembles a crow outside,4,robin_600x600,birds,robin,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.3839738238941524,0.48382062482261484
CAT_201,20,very atypical,No,NA,1,sheepdog_600x600,dogs,sheepdog,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",-1.3439083836295327,-1.522773975253762
CAT_201,21,somewhat typical,Yes,birds outside,4,sparrow_600x600,birds,sparrow,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.3839738238941524,0.48382062482261484
CAT_201,22,very atypical,No,NA,1,sphynx_600x600,cats,sphynx,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",-1.3439083836295327,-1.5227739752537617
CAT_201,23,very atypical,No,NA,1,sturgeon_600x600,fish,sturgeon,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",-1.3439083836295327,-0.8981462390204988
CAT_201,24,very typical,Yes,Cat in book,5,tabby_600x600,cats,tabby,No pets,"They all saw a cat 
The rabbit listened 
Peekaboo animals
",0.9599345597353809,0.761386987626881
CAT_202,1,somewhat atypical,No,NA,2,afghanhound_600x600,dogs,afghanhound,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",-0.21856447711020902,0.5976143046671968
CAT_202,2,very atypical,Yes,Friends house,1,arabianmau_600x600,cats,arabianmau,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",-0.9679283986309261,-0.5976143046671968
CAT_202,3,neither typical nor atypical,No,NA,3,bass_600x600,fish,bass,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",0.530799444410508,0.14256648712805012
