Trial,Framerate,Framecount,file,response_uuid,trial_number
24,29.6772,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,14
26,29.6703,216,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,16
27,29.6801,218,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,17
28,29.6772,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,18
29,29.6732,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,19
31,29.6772,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,21
32,29.6732,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,22
33,29.6772,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,23
34,29.6772,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,24
36,29.6785,216,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,26
37,29.6841,218,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,27
38,29.6894,217,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,28
39,29.6841,218,framerate_table_0824798b-c932-495c-8e76-0c6c23170a55,0824798b-c932-495c-8e76-0c6c23170a55,29
11,30.127,223,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,1
12,30.1344,222,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,2
13,30.1026,223,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,3
14,29.9946,224,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,4
16,30.1107,223,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,6
17,30.1221,222,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,7
18,30.0701,223,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,8
19,30.1254,221,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,9
21,30.0823,223,framerate_table_09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,09b50aa9-8ef9-4fa9-9fec-a44186f7a3e0,11
