"category","typicality_subjective","imageName","image","N","modal_label","modal_label_count","modal_agreement","category_plural","animal_name","original_image_name","source","final_image_name","final_image_name_ext","image_experiment_name","image_path"
"dog","atypical","yorkshireterrier","lib/images/yorkshireterrier_600x600.jpg",33,"dog",29,0.878787878787879,"dogs","yorkshire terrier","yorkshireterrier_hw","https://pixabay.com/photos/yorkshire-terrier-terrier-dog-361730/","yorkshireterrier","_600x600.jpg","yorkshireterrier_600x600.jpg","../images/yorkshireterrier_600x600.jpg"
"dog","typical","beagle","lib/images/beagle_600x600.jpg",33,"dog",27,0.818181818181818,"dogs","beagle","beagle_mz_4","https://commons.wikimedia.org/wiki/File:Beagle_1.jpg","beagle","_600x600.jpg","beagle_600x600.jpg","../images/beagle_600x600.jpg"
"dog","typical","dalmatian","lib/images/dalmatian_600x600.jpg",33,"dog",20,0.606060606060606,"dogs","dalmatian","dalmatian_boss","BOSS","dalmatian","_600x600.jpg","dalmatian_600x600.jpg","../images/dalmatian_600x600.jpg"
"dog","typical","foxhound","lib/images/foxhound_600x600.jpg",33,"dog",28,0.848484848484849,"dogs","american foxhound","foxhound_mz","https://commons.wikimedia.org/wiki/File:BIR_Grupp_6-_AMERICAN_FOXHOUND,_J%C3%A4%C3%A4r%C3%A4p%C3%A4%C3%A4_Flikka_(23607404123).jpg","foxhound","_600x600.jpg","foxhound_600x600.jpg","../images/foxhound_600x600.jpg"
"dog","typical","germanshepherd","lib/images/germanshepherd_600x600.jpg",33,"dog",24,0.727272727272727,"dogs","german shepherd","germanshepherd_mz_1","https://commons.wikimedia.org/wiki/File:02.Owczarek_niemiecki_u%C5%BCytkowy_kr%C3%B3tkow%C5%82osy_suka.jpg","germanshepherd","_600x600.jpg","germanshepherd_600x600.jpg","../images/germanshepherd_600x600.jpg"
"dog","typical","goldenretriever","lib/images/goldenretriever_600x600.jpg",33,"dog",30,0.909090909090909,"dogs","golden retriever","goldenretriever_hw","https://pixabay.com/photos/dog-lake-constance-golden-retriever-1994692/","goldenretriever","_600x600.jpg","goldenretriever_600x600.jpg","../images/goldenretriever_600x600.jpg"
"dog","typical","husky","lib/images/husky_600x600.jpg",33,"dog",15,0.454545454545455,"dogs","siberian husky","husky_hw","https://pixabay.com/photos/dog-husky-sled-dog-animal-2016708/","husky","_600x600.jpg","husky_600x600.jpg","../images/husky_600x600.jpg"
"dog","typical","labrador","lib/images/labrador_600x600.jpg",33,"dog",29,0.878787878787879,"dogs","labrador retriever","labrador_mz_1","https://commons.wikimedia.org/wiki/File:Black_labrador_retriever.jpg","labrador","_600x600.jpg","labrador_600x600.jpg","../images/labrador_600x600.jpg"
"dog","typical","rottweiler","lib/images/rottweiler_600x600.jpg",34,"dog",22,0.647058823529412,"dogs","rottweiler","rottweiler_mz_2","https://commons.wikimedia.org/wiki/File:02_I_Exposici%C3%B3n_Monogr%C3%A1fica_Club_Rottweiler_de_Espa%C3%B1a_-_Santa_Brigida_-_Gran_Canaria.jpg","rottweiler","_600x600.jpg","rottweiler_600x600.jpg","../images/rottweiler_600x600.jpg"
"fish","atypical","betafish","lib/images/betafish_600x600.jpg",29,"fish",16,0.551724137931034,"fish","beta  fish","betafish_mz_1","https://commons.wikimedia.org/wiki/File:Male_Betta_-34245661920.jpg","betafish","_600x600.jpg","betafish_600x600.jpg","../images/betafish_600x600.jpg"
"fish","atypical","catfish","lib/images/catfish_600x600.jpg",30,"catfish",20,0.666666666666667,"fish","catfish","catfish_hw","https://commons.wikimedia.org/wiki/File:Blue_catfish_tenn_aquarium.JPG","catfish","_600x600.jpg","catfish_600x600.jpg","../images/catfish_600x600.jpg"
"fish","atypical","cuttlefish","lib/images/cuttlefish_600x600.jpg",30,"squid",18,0.6,"fish","cuttlefish","cuttlefish_boss","BOSS","cuttlefish","_600x600.jpg","cuttlefish_600x600.jpg","../images/cuttlefish_600x600.jpg"
"fish","atypical","lionfish","lib/images/lionfish_600x600.jpg",28,"fish",22,0.785714285714286,"fish","lion fish","lionfish_mz","https://unsplash.com/photos/gULJzSnDuZU","lionfish","_600x600.jpg","lionfish_600x600.jpg","../images/lionfish_600x600.jpg"
"fish","atypical","pufferfish","lib/images/pufferfish_600x600.jpg",29,"puffer fish",10,0.344827586206897,"fish","pufferfish","pufferfish_er","EmbersonRubenstein","pufferfish","_600x600.jpg","pufferfish_600x600.jpg","../images/pufferfish_600x600.jpg"
"fish","atypical","salmon","lib/images/salmon_600x600.jpg",30,"fish",21,0.7,"fish","salmon","salmon_boss","BOSS","salmon","_600x600.jpg","salmon_600x600.jpg","../images/salmon_600x600.jpg"
"fish","atypical","seahorse","lib/images/seahorse_600x600.jpg",30,"seahorse",24,0.8,"fish","seahorse","seahorse_mz_1","https://unsplash.com/photos/fG1fdervp1E","seahorse","_600x600.jpg","seahorse_600x600.jpg","../images/seahorse_600x600.jpg"
"fish","atypical","stingray","lib/images/stingray_600x600.jpg",29,"stingray",13,0.448275862068966,"fish","stingray","stingray_boss","BOSS","stingray","_600x600.jpg","stingray_600x600.jpg","../images/stingray_600x600.jpg"
"fish","atypical","sturgeon","lib/images/sturgeon_600x600.jpg",30,"fish",19,0.633333333333333,"fish","sturgeon","sturgeon_boss","BOSS","sturgeon","_600x600.jpg","sturgeon_600x600.jpg","../images/sturgeon_600x600.jpg"
"fish","typical","angelfish","lib/images/angelfish_600x600.jpg",34,"fish",28,0.823529411764706,"fish","angelfish","angelfish_mz_2","https://www.pexels.com/photo/angel-fish-blueface-angel-coral-marine-fish-1699246/","angelfish","_600x600.jpg","angelfish_600x600.jpg","../images/angelfish_600x600.jpg"
"fish","typical","bass","lib/images/bass_600x600.jpg",32,"fish",29,0.90625,"fish","bass","rockbass_boss","BOSS","bass","_600x600.jpg","bass_600x600.jpg","../images/bass_600x600.jpg"
"fish","typical","bluegill","lib/images/bluegill_600x600.jpg",34,"fish",30,0.882352941176471,"fish","bluegill","bluegill_mz","https://commons.wikimedia.org/wiki/File:Bluegill_(fish).jpg","bluegill","_600x600.jpg","bluegill_600x600.jpg","../images/bluegill_600x600.jpg"
"fish","typical","bluetang","lib/images/bluetang_600x600.jpg",34,"fish",26,0.764705882352941,"fish","blue tang","bluetang_mz_2","https://unsplash.com/photos/9FvTOCfvt_w","bluetang","_600x600.jpg","bluetang_600x600.jpg","../images/bluetang_600x600.jpg"
"fish","typical","clownfish","lib/images/clownfish_600x600.jpg",32,"fish",21,0.65625,"fish","clownfish","clownfish_mz","https://unsplash.com/photos/rEM3cK8F1pk","clownfish","_600x600.jpg","clownfish_600x600.jpg","../images/clownfish_600x600.jpg"
"fish","typical","goldfish","lib/images/goldfish_600x600.jpg",33,"goldfish",17,0.515151515151515,"fish","goldfish","goldfish_hw","https://pixabay.com/photos/veiltail-fish-goldfish-swim-11453/","goldfish","_600x600.jpg","goldfish_600x600.jpg","../images/goldfish_600x600.jpg"
"fish","typical","koi","lib/images/koi_600x600.jpg",33,"fish",13,0.393939393939394,"fish","koi","koi_mz","https://www.flickr.com/photos/oregonstateuniversity/13311666853","koi","_600x600.jpg","koi_600x600.jpg","../images/koi_600x600.jpg"
"fish","typical","sergeantmajor","lib/images/sergeantmajor_600x600.jpg",33,"fish",31,0.939393939393939,"fish","sergeant major","sergeantmajor_hw_1","https://unsplash.com/photos/mjPMBpsxICY","sergeantmajor","_600x600.jpg","sergeantmajor_600x600.jpg","../images/sergeantmajor_600x600.jpg"
NA,NA,"giraffe.jpg","lib/images/giraffe.jpg",265,"giraffe",235,0.886792452830189,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"horse.jpg","lib/images/horse.jpg",265,"horse",249,0.939622641509434,NA,NA,NA,NA,NA,NA,NA,NA
